host,ip,port
60.24.244.78:89,60.24.244.78,89
220.184.26.247:10000,220.184.26.247,10000
211.92.70.133:34567,211.92.70.133,34567
223.167.230.205:29999,223.167.230.205,29999
220.184.26.247:10001,220.184.26.247,10001
113.89.246.25:18001,113.89.246.25,18001
119.100.144.144:8010,119.100.144.144,8010
119.100.144.161:8010,119.100.144.161,8010
47.113.193.94:2082,47.113.193.94,2082
112.115.49.102:49153,112.115.49.102,49153
125.94.173.171:5678,125.94.173.171,5678
42.228.80.61:8765,42.228.80.61,8765
218.71.243.29:8000,218.71.243.29,8000
39.64.150.152:8000,39.64.150.152,8000
27.191.88.226:8000,27.191.88.226,8000
115.193.25.123:8000,115.193.25.123,8000
82.156.10.40,82.156.10.40,80
119.100.146.110:8010,119.100.146.110,8010
111.166.26.86:18080,111.166.26.86,18080
kukudelu.synology.me:8000,171.116.224.176,8000
112.92.92.99:8000,112.92.92.99,8000
182.149.113.79:8000,182.149.113.79,8000
60.29.68.97:5000,60.29.68.97,5000
171.116.224.176:8000,171.116.224.176,8000
61.48.65.232:5678,61.48.65.232,5678
123.157.57.163:8081,123.157.57.163,8081
123.114.27.196:8001,123.114.27.196,8001
110.185.42.4:82,110.185.42.4,82
114.250.93.87:34567,114.250.93.87,34567
154.12.30.180:8081,154.12.30.180,8081
59.60.84.103:888,59.60.84.103,888
211.158.40.37:34567,211.158.40.37,34567
221.217.49.78:5050,221.217.49.78,5050
121.57.228.231:9000,121.57.228.231,9000
58.245.84.59:8888,58.245.84.59,8888
122.231.181.163:10002,122.231.181.163,10002
123.14.198.57:34567,123.14.198.57,34567
122.231.181.163:10000,122.231.181.163,10000
171.212.81.72:8000,171.212.81.72,8000
116.147.152.184:5678,116.147.152.184,5678
122.231.181.163:10001,122.231.181.163,10001
106.59.235.142:49153,106.59.235.142,49153
27.191.89.13:8000,27.191.89.13,8000
111.196.248.255:8054,111.196.248.255,8054
140.240.86.197:34567,140.240.86.197,34567
42.228.95.189:8765,42.228.95.189,8765
223.167.230.37:29999,223.167.230.37,29999
45.205.28.245:8081,45.205.28.245,8081
114.249.4.74:3000,114.249.4.74,3000
115.204.49.172:10001,115.204.49.172,10001
116.148.81.184:60001,116.148.81.184,60001
123.53.178.221:28080,123.53.178.221,28080
182.139.80.218:8000,182.139.80.218,8000
218.71.241.250:8000,218.71.241.250,8000
221.15.228.8:34567,221.15.228.8,34567
115.204.49.172:10000,115.204.49.172,10000
123.185.228.62:9002,123.185.228.62,9002
27.42.73.159:8000,27.42.73.159,8000
180.103.132.148:8085,180.103.132.148,8085
122.233.99.177:10002,122.233.99.177,10002
125.108.73.100:34567,125.108.73.100,34567
115.204.238.231:10002,115.204.238.231,10002
116.4.41.66:8000,116.4.41.66,8000
47.108.27.17:8077,47.108.27.17,8077
